ANO;ESTADO;FAMÍLIA;DENOMINAÇÃO;QUANTIDADE;REGIÃO
1995;PARANÁ;Cédulas - 1a. família;50;;SUL
1995;RIO DE JANEIRO;Cédulas - 1a. família;50;3;SUDESTE
1995;RIO DE JANEIRO;Cédulas - 1a. família;100;0;SUDESTE
1995;SÃO PAULO;Cédulas - 1a. família;100;0;SUDESTE
1996;DISTRITO FEDERAL;Cédulas - 1a. família;50;1;CENTRO-OESTE
1996;DISTRITO FEDERAL;Cédulas - 1a. família;100;1;CENTRO-OESTE
1996;MINAS GERAIS;Cédulas - 1a. família;50;4;SUDESTE
1996;MINAS GERAIS;Cédulas - 1a. família;100;1;SUDESTE
1996;PARANÁ;Cédulas - 1a. família;50;4;SUL
1996;PARANÁ;Cédulas - 1a. família;100;12;SUL
1996;PERNAMBUCO;Cédulas - 1a. família;50;2;NORDESTE
1996;PERNAMBUCO;Cédulas - 1a. família;100;1;NORDESTE
1996;RIO DE JANEIRO;Cédulas - 1a. família;5;2;SUDESTE
1996;RIO DE JANEIRO;Cédulas - 1a. família;10;6087;SUDESTE
1996;RIO DE JANEIRO;Cédulas - 1a. família;50;7988;SUDESTE
1996;RIO DE JANEIRO;Cédulas - 1a. família;100;2311;SUDESTE
1996;RIO GRANDE DO SUL;Cédulas - 1a. família;10;1;SUL
1996;RIO GRANDE DO SUL;Cédulas - 1a. família;50;2;SUL
1996;RIO GRANDE DO SUL;Cédulas - 1a. família;100;2;SUL
1996;RONDÔNIA;Cédulas - 1a. família;100;2;NORTE
1997;AMAPÁ;Cédulas - 1a. família;100;1;NORTE
1997;BAHIA;Cédulas - 1a. família;5;2;NORDESTE
1997;BAHIA;Cédulas - 1a. família;10;49;NORDESTE
1997;BAHIA;Cédulas - 1a. família;50;14;NORDESTE
1997;BAHIA;Cédulas - 1a. família;100;27;NORDESTE
1997;CEARÁ;Cédulas - 1a. família;10;20;NORDESTE
1997;CEARÁ;Cédulas - 1a. família;50;28;NORDESTE
1997;CEARÁ;Cédulas - 1a. família;100;1;NORDESTE
1997;DISTRITO FEDERAL;Cédulas - 1a. família;10;19;CENTRO-OESTE
1997;DISTRITO FEDERAL;Cédulas - 1a. família;50;22;CENTRO-OESTE
1997;DISTRITO FEDERAL;Cédulas - 1a. família;100;12;CENTRO-OESTE
1997;GOIÁS;Cédulas - 1a. família;10;;CENTRO-OESTE
1997;GOIÁS;Cédulas - 1a. família;50;1;CENTRO-OESTE
1997;MATO GROSSO DO SUL;Cédulas - 1a. família;50;8;CENTRO-OESTE
1997;MINAS GERAIS;Cédulas - 1a. família;50;35;SUDESTE
1997;MINAS GERAIS;Cédulas - 1a. família;100;58;SUDESTE
1997;PARANÁ;Cédulas - 1a. família;50;4;SUL
1997;PARANÁ;Cédulas - 1a. família;100;1;SUL
1997;PERNAMBUCO;Cédulas - 1a. família;50;8;NORDESTE
1997;PERNAMBUCO;Cédulas - 1a. família;100;4;NORDESTE
1997;RIO DE JANEIRO;Cédulas - 1a. família;5;180;SUDESTE
1997;RIO DE JANEIRO;Cédulas - 1a. família;10;16;SUDESTE
1997;RIO DE JANEIRO;Cédulas - 1a. família;50;33;SUDESTE
1997;RIO DE JANEIRO;Cédulas - 1a. família;100;73;SUDESTE
1997;RIO GRANDE DO SUL;Cédulas - 1a. família;100;1;SUL
1997;RONDÔNIA;Cédulas - 1a. família;100;1;NORTE
1997;SÃO PAULO;Cédulas - 1a. família;50;1;SUDESTE
1997;TOCANTINS;Cédulas - 1a. família;100;1;NORTE
1998;AMAPÁ;Cédulas - 1a. família;50;79;NORTE
1998;AMAZONAS;Cédulas - 1a. família;5;13;NORTE
1998;AMAZONAS;Cédulas - 1a. família;10;1;NORTE
1998;AMAZONAS;Cédulas - 1a. família;50;364;NORTE
1998;AMAZONAS;Cédulas - 1a. família;100;3;NORTE
1998;CEARÁ;Cédulas - 1a. família;5;5;NORDESTE
1998;CEARÁ;Cédulas - 1a. família;10;26;NORDESTE
1998;CEARÁ;Cédulas - 1a. família;50;69;NORDESTE
1998;CEARÁ;Cédulas - 1a. família;100;49;NORDESTE
1998;DISTRITO FEDERAL;Cédulas - 1a. família;100;1;CENTRO-OESTE
1998;ESPÍRITO SANTO;Cédulas - 1a. família;10;918;SUDESTE
1998;ESPÍRITO SANTO;Cédulas - 1a. família;50;55;SUDESTE
1998;GOIÁS;Cédulas - 1a. família;10;83;CENTRO-OESTE
1998;GOIÁS;Cédulas - 1a. família;100;1;CENTRO-OESTE
1998;MATO GROSSO;Cédulas - 1a. família;10;1;CENTRO-OESTE
1998;MATO GROSSO;Cédulas - 1a. família;50;6;CENTRO-OESTE
1998;MINAS GERAIS;Cédulas - 1a. família;10;42;SUDESTE
1998;MINAS GERAIS;Cédulas - 1a. família;50;22;SUDESTE
1998;MINAS GERAIS;Cédulas - 1a. família;100;7;SUDESTE
1998;PARÁ;Cédulas - 1a. família;50;1;NORTE
1998;PARANÁ;Cédulas - 1a. família;10;475;SUL
1998;PARANÁ;Cédulas - 1a. família;50;338;SUL
1998;PARANÁ;Cédulas - 1a. família;100;3;SUL
1998;PERNAMBUCO;Cédulas - 1a. família;10;689;NORDESTE
1998;PERNAMBUCO;Cédulas - 1a. família;50;3;NORDESTE
1998;PERNAMBUCO;Cédulas - 1a. família;100;1;NORDESTE
1998;PIAUÍ;Cédulas - 1a. família;50;6;NORDESTE
1998;PIAUÍ;Cédulas - 1a. família;100;1;NORDESTE
1998;RIO DE JANEIRO;Cédulas - 1a. família;5;13;SUDESTE
1998;RIO DE JANEIRO;Cédulas - 1a. família;10;223;SUDESTE
1998;RIO DE JANEIRO;Cédulas - 1a. família;50;220;SUDESTE
1998;RIO DE JANEIRO;Cédulas - 1a. família;100;627;SUDESTE
1998;RIO GRANDE DO NORTE;Cédulas - 1a. família;10;3;NORDESTE
1998;RIO GRANDE DO SUL;Cédulas - 1a. família;50;3;SUL
1998;RIO GRANDE DO SUL;Cédulas - 1a. família;100;3;SUL
1998;RONDÔNIA;Cédulas - 1a. família;50;6;NORTE
1998;RONDÔNIA;Cédulas - 1a. família;100;4;NORTE
1998;SANTA CATARINA;Cédulas - 1a. família;5;32;SUL
1998;SANTA CATARINA;Cédulas - 1a. família;10;1016;SUL
1998;SANTA CATARINA;Cédulas - 1a. família;50;791;SUL
1998;SANTA CATARINA;Cédulas - 1a. família;100;347;SUL
1998;SÃO PAULO;Cédulas - 1a. família;5;9;SUDESTE
1998;SÃO PAULO;Cédulas - 1a. família;10;35;SUDESTE
1998;SÃO PAULO;Cédulas - 1a. família;50;207;SUDESTE
1998;SÃO PAULO;Cédulas - 1a. família;100;56;SUDESTE
1998;TOCANTINS;Cédulas - 1a. família;50;11;NORTE
1998;TOCANTINS;Cédulas - 1a. família;100;6;NORTE
1999;ACRE;Cédulas - 1a. família;10;10;NORTE
1999;ACRE;Cédulas - 1a. família;50;49;NORTE
1999;ACRE;Cédulas - 1a. família;100;2;NORTE
1999;ALAGOAS;Cédulas - 1a. família;5;11;NORDESTE
1999;ALAGOAS;Cédulas - 1a. família;10;67;NORDESTE
1999;ALAGOAS;Cédulas - 1a. família;50;105;NORDESTE
1999;ALAGOAS;Cédulas - 1a. família;100;3;NORDESTE
1999;AMAPÁ;Cédulas - 1a. família;10;46;NORTE
1999;AMAPÁ;Cédulas - 1a. família;50;5;NORTE
1999;AMAZONAS;Cédulas - 1a. família;5;5;NORTE
1999;AMAZONAS;Cédulas - 1a. família;10;41;NORTE
